,Norm,Value
61,895.1756676987733,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436509033609, 2.5288139317887413, 0.02901701964921688, 0.8029486493520771]"
62,895.1756609587842,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139694710052, 0.02901701964921688, 0.8029486493520771]"
63,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.029017020081604165, 0.8029486493520771]"
64,895.1756411492142,"[58.429246612307466, 6.288711347424114, -182.05424486467078, 0.6445053919069655, -117.00355871347655, 42.60174639651913, 22.38819937548121, 0.34541640263135204, -23.476420211583573, -3.4746291342232913, 0.4432027356645111, 0.07662973187331641, -0.2151783377729522, 0.4790194248329055, -0.9063436644089339, 2.5288139317887413, 0.02901701964921688, 0.8029486613169443]"
65,793.8821332898035,"[58.430324403322565, 6.29616278761913, -182.06316138261948, 0.6445053919069655, -116.94247482407584, 42.59674670044742, 21.092598127089985, 0.34541640263135204, -23.592106778470093, -3.447457809384722, 0.4432027356645111, 0.07567729317279401, -0.21562693163608768, 0.4790194248329055, -0.9127185483349367, 2.5224069483060445, 0.02901701964921688, 0.8029486493520771]"
66,705.9043759521442,"[58.43247998535277, 6.311065668009161, -182.08099441851692, 0.6445053919069655, -116.82030704527445, 42.586747308304, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
67,793.8821332898035,"[58.430324403322565, 6.29616278761913, -182.06316138261948, 0.6445053919069655, -116.94247482407584, 42.59674670044742, 21.092598127089985, 0.34541640263135204, -23.592106778470093, -3.447457809384722, 0.4432027356645111, 0.07567729317279401, -0.21562693163608768, 0.4790194248329055, -0.9127185483349367, 2.5224069483060445, 0.02901701964921688, 0.8029486493520771]"
68,705.9043747,"[58.43248085606457, 6.311065668009161, -182.08099441851692, 0.6445053919069655, -116.82030704527445, 42.586747308304, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
69,705.9043742836834,"[58.43247998535277, 6.311065762051368, -182.08099441851692, 0.6445053919069655, -116.82030704527445, 42.586747308304, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
70,705.9043763685793,"[58.43247998535277, 6.311065668009161, -182.0809917052987, 0.6445053919069655, -116.82030704527445, 42.586747308304, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
71,705.9043759521442,"[58.43247998535277, 6.311065668009161, -182.08099441851692, 0.6445054015108442, -116.82030704527445, 42.586747308304, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
72,705.9043753202309,"[58.43247998535277, 6.311065668009161, -182.08099441851692, 0.6445053919069655, -116.82030530451622, 42.586747308304, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
73,705.9043759508451,"[58.43247998535277, 6.311065668009161, -182.08099441851692, 0.6445053919069655, -116.82030704527445, 42.58674794289598, 18.501395630307535, 0.34541640263135204, -23.823479912243133, -3.3931151597075835, 0.4432027356645111, 0.07377241577174919, -0.21652411936235863, 0.4790194248329055, -0.9254683161869424, 2.5095929813406515, 0.02901701964921688, 0.8029486493520771]"
