         2666047 function calls (2625147 primitive calls) in 2.395 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      226    0.000    0.000    0.069    0.000 __init__.py:226(compile)
     9306    0.045    0.000    0.068    0.000 push_pull_rod.py:83(rotate_bellcrank)
        2    0.000    0.000    0.067    0.034 app.py:1(<module>)
     2194    0.017    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2404    0.006    0.000    0.064    0.000 wishbone.py:115(plane)
       80    0.000    0.000    0.063    0.001 __init__.py:81(__getattr__)
        1    0.000    0.000    0.063    0.063 link.py:8(Link)
     1796    0.005    0.000    0.062    0.000 _minpack_py.py:27(_check_func)
        2    0.000    0.000    0.062    0.031 text.py:1(<module>)
     7155    0.003    0.000    0.058    0.000 inspect.py:863(getdoc)
     2404    0.022    0.000    0.057    0.000 numeric.py:1512(cross)
     1308    0.050    0.000    0.057    0.000 functools.py:35(update_wrapper)
  225/192    0.000    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
     1573    0.003    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        4    0.001    0.000    0.053    0.013 core.py:1(<module>)
     5521    0.014    0.000    0.052    0.000 steering_link.py:103(_set_initial_position)
  225/192    0.025    0.000    0.052    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.051    0.051 dataobject.py:1(<module>)
        1    0.000    0.000    0.048    0.048 frame.py:1(<module>)
      219    0.000    0.000    0.046    0.000 artist.py:1419(__init__)
      376    0.001    0.000    0.046    0.000 _parser.py:969(parse)
       27    0.000    0.000    0.045    0.002 artist.py:45(allow_rasterization)
        1    0.000    0.000    0.045    0.045 _axes.py:1(<module>)
        1    0.000    0.000    0.045    0.045 collections.py:2108(QuadMesh)
      219    0.014    0.000    0.045    0.000 artist.py:1439(get_aliases)
      601    0.002    0.000    0.044    0.000 double_wishbone.py:480(FVIC_position)
 1139/376    0.003    0.000    0.044    0.000 _parser.py:452(_parse_sub)
        2    0.000    0.000    0.043    0.021 colors.py:1(<module>)
 1621/407    0.017    0.000    0.042    0.000 _parser.py:512(_parse)
2530/2300    0.003    0.000    0.042    0.000 typing.py:392(inner)
        1    0.000    0.000    0.042    0.042 f2py2e.py:1(<module>)
        1    0.000    0.000    0.041    0.041 datasetattributes.py:1(<module>)
       30    0.016    0.001    0.041    0.001 __init__.py:851(_rc_params_in_file)
        1    0.000    0.000    0.040    0.040 pyvista_ndarray.py:1(<module>)
      601    0.002    0.000    0.038    0.000 double_wishbone.py:518(SVIC_position)
     1140    0.001    0.000    0.038    0.000 inspect.py:3339(signature)
        1    0.000    0.000    0.038    0.038 _fontconfig_pattern.py:1(<module>)
     1140    0.001    0.000    0.038    0.000 inspect.py:3077(from_callable)
1300/1144    0.004    0.000    0.037    0.000 inspect.py:2497(_signature_from_callable)
        4    0.000    0.000    0.037    0.009 _base.py:1(<module>)
        3    0.000    0.000    0.037    0.012 _imports_.py:1(<module>)
        2    0.000    0.000    0.035    0.018 globals.py:1(<module>)
        1    0.000    0.000    0.035    0.035 _vtk.py:1(<module>)
        1    0.000    0.000    0.032    0.032 crackfortran.py:1(<module>)
      376    0.001    0.000    0.032    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.031    0.031 patches.py:1(<module>)
        1    0.000    0.000    0.031    0.031 axes3d.py:1(<module>)
     7224    0.010    0.000    0.030    0.000 numeric.py:1437(moveaxis)
     2982    0.009    0.000    0.029    0.000 <frozen importlib._bootstrap>:304(acquire)
     1129    0.011    0.000    0.029    0.000 inspect.py:2393(_signature_from_function)
      219    0.009    0.000    0.029    0.000 artist.py:1517(get_setters)
