,heave,pitch,roll,front_left_FZ,front_right_FZ,rear_left_FZ,rear_right_FZ,yaw_accel
0,0.006692090290093943,0.002150554721507469,-0.00407463532077999,1195.0602326479325,1022.3427157984801,972.4149339955402,828.754103291058,-37.1781231266365
1,0.006769232764508016,0.0018137124361259427,-0.0033181257137630165,1168.388521117279,1027.7382815847361,971.9029823052928,854.9146731945161,-36.99103372221717
2,0.00684754713443967,0.001487221258768395,-0.0024346373739315614,1139.5465212310742,1036.3459919690258,968.8971138997983,883.0582596054137,-36.62091242703045
3,0.006929651249656358,0.0011640311685866362,-0.0013658172541759171,1107.1297740814894,1049.2348838545415,962.6763215934365,914.5212289585779,-36.00523091004968
4,0.007016544815525334,0.0008460923778281969,-5.4723882125302204e-05,1070.0722455687783,1067.752584473013,952.2191651585529,950.2897462666581,-35.064032291938744
5,0.007048624242474289,0.00045082486137010014,0.0016997848347289446,1017.2029300211482,1089.2541917219232,934.0507062129014,993.9806096648002,-33.54671301906501
6,0.007070080005146096,2.8057781963748804e-05,0.004001777618898928,950.9349252079102,1120.56411626583,906.6154911099399,1047.7075525500727,-31.30451572909441
7,0.007062958484138773,-0.0004609834430369775,0.0070902917632594655,863.5078977904204,1164.0544475253,866.1255876304117,1116.1104634430567,-27.980187690008435
8,0.0070380103901005004,-0.0009659048020127138,0.010995033394792868,757.1045779368317,1223.1671126477677,811.011207650701,1198.6669134420845,-23.386638134913547
9,0.0069976814369887745,-0.001415225658304648,0.015271363488368418,644.4366754485432,1291.7662578445143,747.1257843163471,1285.5535433701657,-17.948125480022753
10,0.0069505667831840125,-0.0017262242038942148,0.01907518804056626,547.5148370812565,1356.0826848591778,687.2780732325757,1359.8185937980775,-12.808404770047897
11,0.006904962197239597,-0.0018819848431875033,0.0219395094318947,477.43743484045075,1407.4194557214305,639.532916324868,1413.0618096127882,-8.790333661970003
12,0.006862741093024138,-0.0019208368306837548,0.02399276546206478,429.89370057673887,1446.9100828344453,602.815152279296,1448.736405550675,-5.873054787797405
13,0.006824317399837483,-0.0018821102774719738,0.0254377641607017,398.87254729246786,1477.1401992788929,574.7105868470064,1471.578660402989,-3.8225806929302526
14,0.0067878635979728595,-0.0017927952232697493,0.026506867123526703,378.15825808681393,1501.743538390509,551.8371071260169,1486.3989146377203,-2.320251450796543
15,0.006752991932624372,-0.0016701645922352478,0.02731548086943235,364.5214946830164,1522.382666517643,532.6478637154182,1495.7192465168264,-1.2028834617156916
16,0.006718883611963845,-0.0015232090303779074,0.027950616371585007,355.6765814561393,1540.4601692025135,515.8386270921185,1501.30320257603,-0.3447421481652204
17,0.0066849569188733365,-0.0013565324265389638,0.028463946172877525,350.29335827844164,1556.8362058417397,500.6097239484559,1504.1729462739531,0.32965334463867546
18,0.006651417399756793,-0.001175951412547512,0.02888003247985306,347.60585208967234,1571.7859574878917,486.70551408958704,1504.9388356507193,0.8578322181841436
19,0.006617463715142061,-0.000980292231894205,0.02922693211822597,347.0273247409249,1585.9119716303007,473.56586287309295,1504.0299452990275,1.2804049992226056
20,0.00658364940842164,-0.0007748942531060379,0.02951141572741181,348.20899942337945,1599.1524684390856,461.2484992567443,1501.7427189587734,1.610009682964724
21,0.00654930447148586,-0.0005572196486794837,0.0297480025497229,350.91843758509384,1611.8904576862142,449.39737206842096,1498.2330154197298,1.8672630819217213
22,0.00651456899120284,-0.0003291225753546504,0.02994135437674106,354.98269612358825,1624.1506024358182,437.98975437865215,1493.6424701550684,2.061866441000527
23,0.00647940226829528,-9.118124665898505e-05,0.030096631668491615,360.2646619737166,1636.014533576801,426.9499115709801,1488.0772926772393,2.202251522401735
24,0.006439349025741264,0.00014611448662405543,0.03020974611319519,366.1441385914159,1646.6887573242307,416.48088086839766,1481.5963771828863,2.280528288182719
25,0.006395669440760942,0.00038784819034390415,0.030286361671542975,372.79440390348077,1656.5866381768512,406.384161210783,1474.2009188384004,2.304215045940623
26,0.006351313834147108,0.0006376864832336868,0.030331781955983846,380.42641352943775,1666.1439437190384,396.57500026367876,1465.993156612878,2.289165041353328
27,0.006305903659132023,0.0008976117919921785,0.0303473724045871,389.07797065956714,1675.4563559582343,386.9568045472908,1456.924638750107,2.2359168166934835
28,0.006259187003351964,0.0011690493576861057,0.0303331958163845,398.79683741501384,1684.5742989698401,377.4771192947189,1446.9451246104309,2.1465089867749243
29,0.006211715331827948,0.0014487829423487034,0.03028934977767244,409.46923651788205,1693.388132008793,368.24942639653597,1436.17153671832,2.0237559661075255
30,0.006162716700487287,0.001741410780691178,0.03021457352683873,421.2825078090151,1702.0317531726018,359.1318882406869,1424.4175863522905,1.8680059096928245
31,0.0067124099570815676,0.002302663502381739,-0.004705130585077735,1216.2475507996235,1016.8043105757415,979.8973553620111,814.0069344504432,-37.064176362792686
32,0.006788710883364382,0.001967451625140911,-0.0039908999585028335,1190.4977527615208,1021.329648977636,980.0503355971241,839.3417916022594,-36.92670759058914
33,0.006865774429907239,0.0016434390623153972,-0.003162278520107069,1162.8594712960657,1028.8153543185738,977.8905975880721,866.3970470362748,-36.621580766187
34,0.006945930301889795,0.0013241617023358155,-0.002169684830481578,1132.1242268881995,1040.1546279511913,972.8234334069195,896.3261028300496,-36.098401149756874
35,0.007029821504863202,0.0010120975685083313,-0.0009679968436832427,1097.4802432471722,1056.4483476302971,964.0064388871929,929.8774384405391,-35.291617927010606
36,0.007099070611989412,0.0006764915979099459,0.0005701129911327762,1053.865432648681,1078.031644444346,949.3709514529903,969.4716229128042,-34.04555618688458
