,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma,Velocity
0,4001.554367939257,4804.6807181648,155.62011370531468,848.1263727919151,0.029799040543790012,-0.010411566736226036,0.21912161668846383,0.21099722808551777,0.10572533775919288,-0.07936336448780222,0.004399047018513881,0.007298348930051184,107.7713730319606
1,4247.374678966463,5116.913003079377,97.95153424345199,849.1592166669382,0.048771666009842424,0.010905652664440407,0.2200563784824771,0.21095765063031563,0.1117981920705782,-0.08621116488068446,0.004365176001546348,0.008359853095802528,111.50534298250375
2,4515.799259282497,5437.231936724075,53.11032460075262,850.8161787285396,0.06775911379319804,0.03201431118311754,0.22078115178563673,0.21094523937930024,0.11815860683048576,-0.09362006317614224,0.004345760442097217,0.00919906424701432,115.25771184416249
3,4626.675479132421,5601.16191934354,-3.2361669676201927,841.3495156036751,0.08609624451395771,0.05315951970255198,0.2216581482984411,0.2108001537956926,0.12107493904511925,-0.09763953535814371,0.004058118394472199,0.010339467153544241,116.89980174320812
4,4434.796596065181,5344.61271993086,38.80095406266264,825.9629060407539,0.10333370541726021,0.07496825821165173,0.22098860165143286,0.21060120568344595,0.11521653055218338,-0.09426624499377409,0.003815777163927535,0.009584879499764186,113.91591380227307
5,-504.4885066854109,793.8064899393498,-213.81308509678774,897.5556210959558,0.12038254551784737,0.09671309073392756,0.2242777191998693,0.21227117439444826,0.01980044689490831,0.0054788594074322225,0.00367413031538579,0.01563043442497797,0.6053306791591339
6,-460.05642625037,462.76648730414706,69.73479651720663,860.0787280883984,0.1387487925167119,0.11810821164662014,0.21986454419779297,0.2117534007359585,0.013599754324582963,0.004853516232214739,0.0033564693507618414,0.010161436415292638,0.05722383124493576
7,-458.5808673683101,469.9972365946849,66.97496096958366,862.2384025237629,0.15712486106317314,0.1403328128272575,0.21990519361470545,0.21178582181803368,0.013020397942442537,0.004154310145033558,0.0033919836885465144,0.010211155522830412,0.4787388059636855
8,-482.16828956882307,475.8569415715736,47.249573141073824,867.7463091786792,0.17559284930288482,0.16253881129856143,0.2202195330092601,0.21185277716559547,0.012352511403910697,0.0038805239520552184,0.0034820141398474577,0.010563343786297509,0.7211881927753502
9,-460.44812205412074,464.0728627398949,67.4438989148149,859.2382830939428,0.19390241069578812,0.18472743549477655,0.21990060324939373,0.21174045411161363,0.01150417672633669,0.0028891004364821064,0.0033369130982810074,0.010208322087411473,0.1619224356314897
10,-460.89031064997823,452.4084651938376,70.45058602619213,852.6436825435221,0.21229282204706293,0.20690420405812404,0.2198580158881486,0.21164287610831178,0.01059995906770678,0.0022743271638131987,0.0032163909669198467,0.010166482989361725,0.5313248000216844
11,-458.65003987642115,437.6688273297452,79.21223329259487,846.8747887382603,0.23453792411976032,0.22523291346245602,0.2197246471930742,0.21155968605442177,0.009804119809073763,0.0016202270210201064,0.0031192075298097947,0.010011840709799316,0.7252975377645674
12,-461.4066434369123,418.2266812356417,88.61099679605513,842.0044622256462,0.25680188645290974,0.24354854541155413,0.21958360898281937,0.2114873676365621,0.008915673661337007,0.001062080049742884,0.0030439939898478843,0.009838074805192413,0.17117177493102415
13,-439.9047090300695,403.9856500707741,108.4023903444139,831.1762039687517,0.2789757575075515,0.26189241816811226,0.21927270859698703,0.21134080437174532,0.008173699650918959,7.787428406926526e-05,0.002854646092618172,0.009497513514104659,0.6706038045138131
14,-473.5449047155968,151.2313832246458,266.9764428095876,802.292323682805,0.3013900378914074,0.2796495123864676,0.21686797889110662,0.21092739010730074,0.003260837736032162,0.0006583448932334019,0.0026089841195847197,0.006454748498811024,0.281737463657154
15,-475.45114832471484,189.5544960967532,258.493728279047,828.255897270792,0.3236328727744604,0.2981164968080003,0.21698659803847775,0.21130863662746438,0.003355363853520696,-8.261576914667178e-05,0.003092161427349618,0.006547457999462963,0.9821171970865268
16,-477.60276623919333,310.7141973571789,197.00370613122084,872.3173401966451,0.34586331905413936,0.3167688464292725,0.21790786865665354,0.21194583467915362,0.004853002938950691,-0.0010272043762257507,0.003823854434220379,0.007622342239922395,1.0748280170282407
17,-398.93749688665446,227.9870821838931,290.9367702260782,827.9910208123131,0.3678328861452721,0.3350060968537404,0.21645177025903314,0.21135091284440055,0.0030536725347042075,-0.0028146933404133868,0.003091944324076757,0.005981505415278676,0.2500968295323732
18,-299.8517091844334,743.4396421510452,-225.60259853892478,667.204459266826,0.38967593238179765,0.3543926784881525,0.22450655913851328,0.20891689653526985,0.011419773499227268,-0.0064597779836567115,-0.000856103983762073,0.016578891969575356,0.8789917990716599
19,-343.13857834801865,667.6968490655313,-201.2970289190505,663.8088047286152,0.4120461465141666,0.3726641561578116,0.22412739609028998,0.208865340362184,0.009482746085291018,-0.006167204507190559,-0.000888057040912966,0.016102496831062837,0.2112315143464742
20,-413.727259766118,523.4744923917681,-133.10770063882705,669.2456429246365,0.43460104634147223,0.39067430315334134,0.22309305765236132,0.20891318001811993,0.0063624015850810844,-0.005276459485294358,-0.0006384337121344468,0.014677981895781966,0.4991929340338045
21,3381.4153790383602,4009.4994643028667,285.88163352353484,825.151548544817,0.006411064053564841,-0.031062019021183884,0.19597030242935423,0.18996553978986325,0.08916498013383999,-0.06536407622076482,0.003932263198070062,0.005146402732104394,97.3589091254269
22,3965.6966268405304,4757.276524153127,169.61284334250797,851.973948156832,0.026714240499420033,-0.009747137404139905,0.1979453640718709,0.19013221179792364,0.10424607809183967,-0.07970850016075423,0.00449348122013985,0.007020937550527006,107.27460408239627
23,4229.7521764438925,5093.021568031164,108.20219871097254,853.8851882919956,0.04571715252922995,0.011479603748238948,0.19894263818143718,0.19009876303666223,0.11081886358171357,-0.08701075914705544,0.004476319046911851,0.008143545313754913,111.31086323368885
24,4535.653423706486,5439.391152857284,75.817067222084,858.2153266062909,0.06479311364389946,0.03247125277422902,0.19947991061078815,0.19012103807155994,0.11782127586169619,-0.09523152233000304,0.004537204213390334,0.008723661424274458,115.47078110736697
25,4551.040817323304,5496.637891219893,26.56111125915936,845.5262881072053,0.08277737208897046,0.05376408545125819,0.20023876024062873,0.18993645331196576,0.11842299657855246,-0.0970645867618837,0.004193137617789015,0.009739158655157712,115.84387342174652
26,4500.7855293550165,5430.088951969657,28.375125348549204,832.8638278038884,0.10053098610461904,0.0752807030032035,0.20020379832897514,0.1897620226839223,0.1165511240986397,-0.09710926575511793,0.00394047251079698,0.009756439736064399,114.97134313559663
27,-513.0009359639145,801.6988118016177,-222.0027935489128,903.4076873143791,0.11783437584697455,0.09797994325797427,0.20345278824050267,0.1914244566184197,0.019204600463453285,0.00491005394995517,0.00378053939403682,0.015770471493332588,0.5649086702243791
28,-472.95743903575215,463.4790951883338,64.15254778561689,866.1682171408286,0.13621738228592042,0.11937409882983137,0.198999999884672,0.19090697698859335,0.012873181125157137,0.0044138997688307835,0.0034729641641753177,0.010243508937506321,0.13465673171412498
29,-468.47627246386526,468.25693480064916,67.2700477921527,869.5318813517653,0.15458268091576832,0.14159443796919857,0.19894758562430634,0.19095951607526485,0.012259526348401523,0.003669602935359205,0.00353897322462812,0.010177188212769684,0.5369293499723365
30,-491.0170574862258,481.2802181311951,44.33926544122551,877.0650584623174,0.1730444493407567,0.1638176024145907,0.19930974226536385,0.19105663366579764,0.011713982972406882,0.00335774986028229,0.0036615022468398234,0.010587837938342663,0.4284820349573576
31,-484.2356276068148,471.78099491722014,50.54433134006649,869.3276515802852,0.19140815958589105,0.18600241553433564,0.19921454235365077,0.1909462827547324,0.010864463296260594,0.002612740527531489,0.0035191138945742805,0.010492554181716351,0.34847073407468043
32,-483.8139221230898,461.34148744847914,56.30496039459433,865.7962056000641,0.213659045656827,0.20433946453997887,0.19912722570490515,0.19089488270667587,0.010139304258776644,0.0019781956485020098,0.0034609230690737583,0.010389195237758395,1.018489352744598
33,-471.0582966622645,448.7852739860322,70.99254018967588,858.8057986368502,0.23586527535808424,0.22267987950485382,0.19889738849733027,0.1907997650149777,0.009408949183664724,0.001140076327159821,0.003342438202899273,0.010130564949931965,0.30722263291996726
34,-458.4871828338347,427.79761074648144,92.15994595683117,851.2416373351696,0.25807351006791135,0.2410025062458499,0.19856807872251162,0.19069705273100174,0.008532520992763604,0.00032683416885366447,0.0032241943409507864,0.009746395947978182,0.3918941902852886
35,-449.771343815915,408.15214378915175,108.3324143551747,843.1339633392854,0.2802951004165466,0.2593264861157891,0.19831838631511067,0.1905837607719287,0.007667270417771479,-0.00042713875020661284,0.0030902993923909846,0.009458593919981126,0.6387728069327855
36,-491.93166725919866,217.40867462945914,236.53719905104163,844.278087165732,0.30272717920130787,0.2772375385369893,0.19636906075340477,0.19060316851961723,0.0037917206191950595,0.0001235544402759678,0.0033701975437632824,0.006917047114084559,0.6641176881575657
37,-500.69657060970906,333.6334400670342,175.50791354644866,890.2411061866042,0.324981858660369,0.2958717965298284,0.19728600769116597,0.19126563361793164,0.005193913831655382,-0.0006956018804617665,0.004144516037052662,0.007973059749056217,0.3281539070058812
38,-411.8844046858991,253.4514372355086,269.6997344049275,839.6519293220903,0.3469153458072086,0.3141196254579951,0.1958229626885696,0.1905825484079282,0.003459974619259315,-0.002659610387736296,0.0032846267664744465,0.006351476408208648,0.72849587090127
39,-375.921503768653,698.943654735056,-193.94320798559284,726.01727687257,0.36894565129228374,0.3334108567030424,0.20304280292284618,0.18885229518622,0.01051507026334011,-0.0050440602929381064,0.000336326360957605,0.015780875828511922,0.39049846823868917
40,-371.0296073152484,672.5125468492394,-212.53748498195057,680.5897671484502,0.39118535780360564,0.35171813561274934,0.20335620296486887,0.18817323297160854,0.009516147701003154,-0.005708165615004617,-0.0005607903893808551,0.01626159616494882,0.7608032677222637
41,-341.89711143904685,720.010779266571,-243.43239734265478,665.3350801193955,0.4133457815315389,0.3701265361660161,0.2038484103794419,0.18794521407437403,0.009811745683418837,-0.006973198836840061,-0.0008949776481697385,0.016913325997631002,0.1772581996860104
42,2149.992642507185,2465.020584176544,540.1296597738021,809.3877135566735,-0.016033324215579153,-0.05330429239368703,0.17105473058521883,0.16899808469281583,0.058803755228755514,-0.04000053011155029,0.004010844186271533,0.00046459958882661236,73.0435646461191
43,3358.2280967494285,3980.052068822557,300.6707650929669,834.5130984682828,0.0035567788510645904,-0.03025695161878561,0.17480069814942414,0.16916297640866595,0.08807525347849955,-0.06595562880699757,0.0041655697621465725,0.004805997776142835,97.11974646241102
44,3925.3605418888415,4704.82691505626,184.50086355600695,856.2160392481671,0.023626276817145825,-0.009053496918679987,0.17675398516089974,0.16927413817757778,0.10265604131490287,-0.07994177883500928,0.004595979092993293,0.006726618002691587,106.71254446668652
45,4207.1064505544055,5063.3479114946185,119.47148949332563,858.9495969346091,0.04265140254769749,0.01207459541487585,0.17781221851462006,0.16924546386147538,0.10971391384011163,-0.08768923521413774,0.004595295953928363,0.007907097921880749,111.04659654251421
