,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma
86,433.772688337728,709.3563126207067,676.3509826930101,912.119139192501,-0.027037594347633823,-0.05972937665689998,0.1300204224095147,0.13198993962342656,0.022694113518141913,-0.008102561151391581,0.005066994169139215,-0.0011797533225166633
87,418.6578406690569,718.1164902049982,669.3148746952324,925.509917274982,-0.009102193479925497,-0.03806895919316751,0.13044702688540247,0.13240364263387408,0.02214777047267001,-0.008551687910248238,0.005326163479949449,-0.0011039510967633932
88,401.2686550607892,730.2640725726275,659.3002510111321,940.7661442003953,0.008710410096072457,-0.016549488638499685,0.1310006755797683,0.1329035646678821,0.021651410057721966,-0.008972122498358949,0.005614545762696378,-0.0009773882293621643
89,381.6912443671625,745.7083514893333,646.385047771455,957.8144792164253,0.026404412739998884,0.004833683511771686,0.13167739875431514,0.1334863739684946,0.02120335618094263,-0.009366241470369527,0.005930853499039043,-0.0008012625261578831
90,360.0679132824565,764.2525206506514,630.741585969439,976.5371029418279,0.04398794412100564,0.026089742595697324,0.13246920935324177,0.13414616164242946,0.020800305515648806,-0.009737068934379518,0.006273197180152737,-0.0005784388342352094
91,336.5654783093442,785.6519176852419,612.5848229652366,996.7969038844386,0.0614709998879219,0.047230069812252626,0.13336624414776244,0.13487582676817106,0.02043824135670068,-0.010087832092587663,0.006639438238951097,-0.0003125333800542917
92,311.3579778848147,809.65121348779,592.139096614392,1018.4508348573589,0.07886408073912922,0.06826669497227883,0.13435815464194,0.1356679433364994,0.02011302060480799,-0.01042174157671866,0.007027354578146385,-7.312535801450043e-06
93,284.6179760784789,836.0076130766622,569.6172275060251,1041.356306183205,0.09617730966230532,0.0892112920962545,0.1354349946366219,0.13651528917989694,0.01982074270443002,-0.0107419025623192,0.007434702227369748,0.0003336952374488377
94,256.5147719739727,864.4881341975049,545.2231713795998,1065.373045293299,0.1134203201330671,0.11007500711303915,0.1365872637521768,0.1374109370125838,0.01955769901506466,-0.011051284154981498,0.00785926086883338,0.0007071334464603746
95,230.47802021335445,891.2542718147279,522.2705135858042,1087.5963172304887,0.13458446039943717,0.12718583535989592,0.13766890503873966,0.13824541851351527,0.019308867352967985,-0.011328135575931974,0.00825090880676651,0.00106048383886435
96,203.99356303303784,918.9080662371364,498.52673926503087,1110.1707543091718,0.15572421261891653,0.1442681512514226,0.13877963903087073,0.13909584112135953,0.01907964352219985,-0.011597146548209137,0.008647414704879897,0.0014282420348486495
97,177.17477695582534,947.2997176204609,474.1226571677169,1133.0019711003756,0.1768460664627612,0.16132937825032728,0.139913179295511,0.13995770285879824,0.018867922871088783,-0.011859672401835122,0.009047256844094438,0.0018082698545493442
98,150.13289609849699,976.2994341569608,449.1706696537307,1155.996122935193,0.19795584386037446,0.17837620355202077,0.141063928002565,0.1408268522368799,0.018671881169700574,-0.012117115645665309,0.009448863909695921,0.002198800167394286
99,122.98477973980937,1005.7878352560506,423.77311622349384,1179.0533916250192,0.21905902364812688,0.19541495341723011,0.1422266295549057,0.1416992375980703,0.01848983086504845,-0.012371025798378595,0.009850507027441089,0.002598302393204476
100,95.86403093655133,1035.6424935751968,398.03395709842056,1202.0586412342036,0.24016122218535682,0.21245214646084182,0.14339586674092106,0.14257054372942848,0.018320013920853695,-0.01262324835487644,0.010250142950007073,0.0030052939887744686
