,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma
247,232.73751442019244,774.7638787573109,644.8451768493919,1108.590505066855,0.10088836203859688,0.07644747586101143,-0.01362618540967133,-0.00831748734832052,0.01421602242900302,-0.01426106626333138,0.009108707394407048,-0.001561200018513707
248,171.05565007967135,842.396522196123,586.5488560198011,1160.9360467981624,0.12026106204459762,0.09202413582850075,-0.011221897850384894,-0.006049767879613122,0.014607202594864616,-0.01403988870868858,0.010008364866331172,-0.0006537306597832309
249,116.70986190939072,902.1832752212317,534.3673848237814,1206.4063374112775,0.13997842544434125,0.10794444478940426,-0.009092252816011625,-0.004068792558893496,0.014892902027862948,-0.01391488831336966,0.010784924221787742,0.000167447492366093
250,69.78096157534333,956.4073481812434,487.44747822391093,1246.0310713832405,0.15999303403809487,0.1241620389045564,-0.007200385395053948,-0.0023341200482053567,0.015109651168949863,-0.013894672321808608,0.01145800630137931,0.0009131040714871401
251,28.731681801023683,1005.103139603482,445.2326899684286,1280.5993479908157,0.180275948772191,0.1406421168443505,-0.005521545671666988,-0.000815818597874541,0.01525295229721419,-0.013954213803608052,0.012041711120773365,0.0015907796533847541
252,1184.377998369568,-80.8609638485392,1368.9573129925168,287.19251184967817,-0.19669488103741067,-0.23812522595972493,-0.06536381464731285,-0.06394850987141858,0.012401952099205743,-0.018232537986202575,-0.004528809503014015,-0.01353492809271562
253,1153.9767309165609,-57.856375253468514,1349.8330587311452,313.7134449696092,-0.1794570049810178,-0.21696816219813564,-0.06454860690873004,-0.06290500694678745,0.012098857393227068,-0.0183496623328373,-0.004078964668991292,-0.013213247476665895
254,1120.7241841433656,-31.282852682624252,1327.604440261547,342.6210876414792,-0.1623653330857673,-0.19595204246724565,-0.06361822127050881,-0.061741257705818134,0.011845968754631541,-0.01842954800923206,-0.0035966764618035165,-0.01283421790649781
255,1085.0350017351732,-1.5477337344065063,1302.6191211845344,373.5604701783966,-0.14540797292781385,-0.17506512000499524,-0.0625830891789792,-0.06047002124415195,0.011636991420920511,-0.018479673861445525,-0.0030874586759352986,-0.012404039548526544
256,1047.25249868823,30.96716183540491,1275.2063075892424,406.24089125086005,-0.128573927045043,-0.1542964841818953,-0.061452917592394504,-0.05910257644137472,0.011465968921795855,-0.018506182859904942,-0.0025555598114885055,-0.011928697762675054
257,1007.6912106997521,65.88091300125382,1245.6964852441652,440.39825041360285,-0.11185095410456176,-0.1336339654748958,-0.06023803080816533,-0.057650499915253534,0.011326957483456194,-0.018514565420383326,-0.0020046535259619497,-0.011414274263956211
258,966.6748717331702,102.7929777432106,1214.4376898459036,475.7613200418432,-0.09522398307134727,-0.11306261380666235,-0.05895039864569783,-0.05612705105761091,0.011213770713728225,-0.018510257842720673,-0.0014384611001682828,-0.010867193337422733
259,924.5452211181765,141.28793620746126,1181.7904638994914,512.0432381387214,-0.07867524057860001,-0.09256487258170705,-0.057603526618030566,-0.05454718448828509,0.011120084879966645,-0.01849879006371943,-0.0008609598330243721,-0.010294094146519654
260,882.2910575791932,181.70564899152657,1148.0026125009692,548.9377560221503,-0.06218946678606527,-0.072122690359166,-0.05620857009486956,-0.052925423424943024,0.011054356367613899,-0.01849842805060684,-0.00027657683245583425,-0.009699642972935673
261,838.7391575599181,222.34625796955112,1113.4665088280494,586.3851507364087,-0.045748773427983586,-0.05172457284814931,-0.05477878173942164,-0.05127149689038555,0.010984211367287229,-0.01848539743128936,0.00031447085274809324,-0.00909095527857164
262,794.714139446573,263.71977221099127,1078.284002059815,624.2191613763102,-0.02934418581145658,-0.03135871922235498,-0.053320220225334176,-0.04959398713000758,0.010920599906163373,-0.018475237216439188,0.0009098610255839218,-0.008470081773297175
263,746.6029295431147,309.15067797566786,1039.6305065099373,665.5529610649377,-0.009286381976741101,-0.015015392125200228,-0.05171933117623986,-0.047762100842078284,0.010864769754401024,-0.018443286939057932,0.0015589435908549673,-0.0077874233104211574
264,699.2266012433811,354.0624264779011,1001.405490511004,706.242556861486,0.010796442597787712,0.0013544134353754636,-0.05013326141206705,-0.04595605706455076,0.010812954750206022,-0.01841770220330534,0.002196766082421068,-0.007111930745429417
265,652.0307166714693,398.8196082619351,963.3109850923706,746.7757650679735,0.030887226286751272,0.01773391153719739,-0.04854918191175024,-0.04415873234152497,0.010769704739034476,-0.018390068563559837,0.0028317999506559614,-0.006438887625596408
266,604.0069828218365,444.1731211597966,924.7235814553807,788.0333896567553,0.05094955461365478,0.03408815129205764,-0.046939950960839825,-0.04233640536598665,0.010745279542565836,-0.01834512355232167,0.0034788353512687875,-0.005758029469731586
267,553.434423507495,491.4740100216265,884.5148370992255,831.5138044654193,0.07091691472625475,0.05035417489616309,-0.045256115296095835,-0.0404295906473731,0.010758940118844366,-0.018256767483708407,0.004162619750486055,-0.005050512202769406
268,497.12091262266995,543.2984696105391,840.5144215158161,880.0032713447263,0.09068590238764748,0.06637676814188649,-0.04337487565615895,-0.038353422372055,0.010850089190432946,-0.018088281247487768,0.004972955051967422,-0.004335032749184255
269,431.34322324190276,602.9819702157433,789.8891629737581,936.7227186623453,0.11011646291257976,0.081985919719778,-0.04115810640467094,-0.03599580639175146,0.011070633455803152,-0.017791884642227914,0.0059931820692216056,-0.0036031094467633288
270,352.4814582216698,674.4990246882218,729.2288870476646,1004.7277051361509,0.12901087608879294,0.09707619477054899,-0.03850711064958927,-0.03319042502212669,0.011481681926667354,-0.017299511086853424,0.007215592512832488,-0.0027276132635965437
271,266.9706736171344,754.4962557886563,661.1803259334042,1078.289819754557,0.14758722705801416,0.11187929944887987,-0.03557911154597229,-0.030145339458007653,0.01204185223489135,-0.01670859492085488,0.008528391212315332,-0.0017328208592657765
272,189.0834411479571,831.6752407515598,595.1963744736343,1144.9820187206342,0.1664048355077822,0.1269485797413937,-0.03281128638229452,-0.027344494409974524,0.012585393683255643,-0.01622982681040847,0.009703443574254607,-0.0007444409238784802
273,1223.4348730601746,-94.91230823577382,1380.772859063134,253.62231567193544,-0.21613359303159113,-0.25829715016077387,-0.08666754015363293,-0.08642652874352616,0.012253906932255438,-0.01887207706359276,-0.005165679762411644,-0.013686299940891525
