velocity,torque
0.0,845.3230567880793
0.15844447485492272,845.5068577916416
0.31688894970984544,845.6906587952037
0.4753334245647681,845.8744597987659
0.6337778994196909,846.058260802328
0.7922223742746135,846.2420618058902
0.9506668491295363,846.4258628094524
1.109111323984459,846.6096638130145
1.2675557988393817,846.7934648165767
1.4260002736943045,846.9772658201389
1.584444748549227,847.161066823701
1.7428892234041498,847.3448678272632
1.9013336982590725,847.5286688308254
2.0597781731139952,847.7124698343875
2.218222647968918,847.8962708379498
2.3766671228238407,848.080071841512
2.5351115976787635,848.2638728450742
2.693556072533686,848.4476738486363
2.852000547388609,848.6314748521985
3.0104450222435313,848.8152758557607
3.168889497098454,848.9990768593228
3.3273339719533768,849.182877862885
3.4857784468082995,849.3666788664472
3.6442229216632227,849.5504798700093
3.802667396518145,849.7342808735715
3.9611118713730677,849.9180818771337
4.1195563462279905,850.1018828806958
4.278000821082913,850.285683884258
4.436445295937836,850.4694848878203
4.594889770792759,850.6532858913824
4.7533342456476815,850.8370868949446
4.911778720502604,851.0208878985068
5.070223195357527,850.9965284511545
5.228667670212449,850.8984665476106
5.387112145067372,850.8004046440667
5.545556619922294,850.7023427405227
5.704001094777218,850.6042808369788
5.86244556963214,850.5062189334349
6.0208900444870626,850.4081570298908
6.179334519341986,850.3100951263469
6.337778994196908,850.2120332228029
6.496223469051832,850.113971319259
6.6546679439067535,850.0159094157151
6.813112418761676,849.9178475121711
6.971556893616599,849.8197856086272
7.130001368471522,849.7217237050833
7.288445843326445,849.6236618015392
7.446890318181367,849.5255998979953
7.60533479303629,849.4275379944514
7.763779267891212,849.3294760909074
7.9222237427461355,849.2314141873635
8.080668217601058,849.1333522838196
8.239112692455981,849.0352903802756
8.397557167310904,848.9372284767317
8.556001642165826,848.8391665731878
8.71444611702075,848.7411046696437
8.872890591875672,848.6430427660998
9.031335066730595,848.5449808625558
9.189779541585517,848.4469189590119
9.34822401644044,848.348857055468
9.506668491295363,848.250795151924
9.665112966150286,848.1527332483801
9.823557441005208,848.0546713448362
9.98200191586013,847.9566094412921
10.140446390715054,847.8585475377482
10.298890865569977,847.7604856342043
10.457335340424898,847.6624237306603
10.615779815279822,847.5643618271164
10.774224290134743,847.4662999235725
10.932668764989668,847.3682380200285
11.091113239844589,847.2701761164845
11.249557714699513,847.1721142129405
11.408002189554436,847.0740523093966
11.566446664409357,846.9759904058527
11.72489113926428,846.8779285023087
11.883335614119204,846.7798665987648
12.041780088974125,846.6818046952209
12.200224563829048,846.5837427916769
12.358669038683972,846.485680888133
12.517113513538895,846.387618984589
12.675557988393816,846.289557081045
12.834002463248739,846.1914951775011
12.992446938103663,846.0934332739572
13.150891412958584,845.9953713704132
13.309335887813507,845.8973094668693
13.467780362668432,845.7992475633254
13.626224837523353,845.7011856597813
13.784669312378275,845.6031237562374
13.943113787233198,845.5050618526934
14.10155826208812,845.4069999491495
14.260002736943044,845.3089380456056
14.418447211797966,845.2108761420616
14.57689168665289,845.1128142385177
14.735336161507812,845.0147523349738
14.893780636362735,844.9166904314297
15.052225111217655,844.8186285278858
15.21066958607258,844.7205666243419
15.369114060927503,844.6225047207979
15.527558535782424,844.524442817254
15.686003010637348,844.4263809137101
15.844447485492271,844.3283190101661
16.002891960347192,844.2302571066222
16.161336435202116,843.8601839438487
16.31978091005704,843.4505979019282
16.478225384911962,843.0410118600075
16.636669859766883,842.631425818087
16.795114334621807,842.2218397761663
16.95355880947673,841.8122537342458
17.112003284331653,841.4026676923253
17.270447759186577,840.9930816504046
17.4288922340415,840.5834956084841
17.58733670889642,840.1739095665636
17.745781183751344,839.7643235246429
17.90422565860627,839.3547374827224
18.06267013346119,838.9451514408019
18.22111460831611,838.3507313826863
18.379559083171035,837.6916834154913
18.538003558025956,837.0326354482962
18.69644803288088,836.3735874811011
18.8548925077358,835.7145395139061
19.013336982590726,835.0554915467111
19.171781457445647,834.396443579516
19.33022593230057,833.7373956123209
19.488670407155496,833.0424091921112
19.647114882010417,827.398836807564
19.805559356865338,820.7796461131036
19.96400383172026,814.2655219376027
20.122448306575183,807.853982394787
20.280892781430108,801.5426231573276
20.43933725628503,795.3291144506817
20.597781731139953,789.2111981856765
20.756226205994874,783.1866852224271
20.914670680849795,777.2534527586208
21.07311515570472,771.4094418356236
21.231559630559644,765.6526549562533
21.390004105414565,759.9811538084292
21.548448580269486,754.3930570892496
21.70689305512441,748.8865384243645
21.865337529979335,743.4598243778112
22.023782004834256,738.1111925477551
22.182226479689177,732.8389697438424
22.3406709545441,727.6415302421132
22.499115429399026,722.5172941136474
22.657559904253947,717.4647256233421
22.816004379108872,712.4823316954023
22.974448853963793,707.5686604423306
23.132893328818714,702.7222997543695
23.29133780367364,697.9418759465166
23.44978227852856,693.2260524603915
23.608226753383487,688.5735286183755
23.76667122823841,683.9830384275863
23.92511570309333,679.4533494313771
24.08356017794825,674.9832616061707
24.242004652803175,670.5716063015552
24.400449127658096,666.217245221675
24.558893602513017,661.9190694460513
24.717338077367945,657.6759984880637
24.875782552222866,653.4869793894136
25.03422702707779,649.3509858489742
25.19267150193271,645.2670173845154
25.351115976787632,641.2340985258622
25.509560451642553,637.2512780381239
25.668004926497478,633.317628173691
25.826449401352402,629.4322439517665
25.984893876207327,625.5942424642557
26.143338351062248,621.8027622068965
26.30178282591717,618.0569624345659
26.460227300772093,614.3560225397482
26.618671775627014,610.6991414532021
26.777116250481935,607.0855370659051
26.935560725336863,603.5144456713995
27.094005200191784,599.9851214277072
27.252449675046705,596.4968358380112
27.41089414990163,593.0488772493522
