,Wheel RPM,Peak Axle Fx [N],Combined Axle Torque [Nm],Scaled Combined Axle Torque [Nm],,,,,tire radius [m],scaling factor
233,68.45161959,4516.59472,917.7720471,596.5518306,,,,,0.2032,0.65
259,90.16058317,4515.287221,917.5063633,596.3791362,,,,,,
285,105.945013,4514.152809,917.2758509,596.2293031,,,,,,
311,118.3907072,4513.20078,917.0823985,596.103559,,,,,,
312,141.3577874,4514.424365,917.331031,596.2651702,,,,,,
286,148.8835232,4516.455541,917.743766,596.5334479,,,,,,
260,155.9272237,4518.726976,918.2053216,596.833459,,,,,,
234,162.5895239,4521.240991,918.7161693,597.16551,,,,,,
232,212.0777748,4525.490385,919.5796463,597.7267701,,,,,,
258,217.050631,4523.890606,919.2545712,597.5154713,,,,,,
284,221.3011092,4522.478768,918.9676857,597.3289957,,,,,,
310,224.9534143,4521.262801,918.7206011,597.1683907,,,,,,
313,230.8568729,4521.612198,918.7915987,597.2145392,,,,,,
287,233.4970199,4523.427659,919.1605004,597.4543253,,,,,,
261,236.1300002,4525.492149,919.5800047,597.7270031,,,,,,
235,238.7742508,4527.807325,920.0504484,598.0327914,,,,,,
231,293.6225289,4534.578529,921.4263572,598.9271322,,,,,,
257,294.9363532,4532.676288,921.0398217,598.6758841,,,,,,
314,295.6173733,4528.960144,920.2847012,598.1850558,,,,,,
283,295.9240204,4530.977577,920.6946436,598.4515184,,,,,,
288,296.0009673,4530.551548,920.6080746,598.3952485,,,,,,
262,296.4876649,4532.401339,920.9839521,598.6395689,,,,,,
309,296.6393357,4529.488888,920.3921421,598.2548924,,,,,,
236,297.0849383,4534.510447,921.4125228,598.9181398,,,,,,
335,297.128591,4528.215594,920.1334086,598.0867156,,,,,,
210,297.7991246,4536.879281,921.8938698,599.2310154,,,,,,
211,350.8058248,4544.240196,923.3896078,600.2032451,,,,,,
237,351.6242627,4542.099431,922.9546043,599.9204928,,,,,,
263,352.6196787,4540.228832,922.5744986,599.6734241,,,,,,
289,353.7912938,4538.628854,922.2493832,599.4620991,,,,,,
334,353.9999546,4536.339971,921.7842821,599.1597833,,,,,,
308,355.2543349,4537.881311,922.0974824,599.3633635,,,,,,
282,356.4158694,4539.651523,922.4571895,599.5971732,,,,,,
256,357.458256,4541.64655,922.862579,599.8606764,,,,,,
212,394.612055,4551.215869,924.8070647,601.124592,,,,,,
238,396.579486,4549.299052,924.4175674,600.8714188,,,,,,
264,398.7624493,4547.662374,924.0849944,600.6552463,,,,,,
290,401.16387,4546.30715,923.809613,600.4762484,,,,,,
333,403.9070725,4544.624548,923.4677082,600.2540103,,,,,,
307,406.5127949,4546.442156,923.8370461,600.49408,,,,,,
281,409.1147087,4548.502674,924.2557434,600.7662332,,,,,,
255,411.6980144,4550.803411,924.7232531,601.0701145,,,,,,
213,434.8664696,4558.33959,926.2546046,602.065493,,,,,,
239,437.8209114,4556.654818,925.912259,601.8429684,,,,,,
265,441.0234787,4555.260762,925.6289869,601.6588415,,,,,,
291,444.4802594,4554.159659,925.4052426,601.5134077,,,,,,
332,449.1945337,4553.071238,925.1840755,601.3696491,,,,,,
306,452.9369248,4555.173303,925.6112151,601.6472898,,,,,,
280,456.7440018,4557.532845,926.0906741,601.9589382,,,,,,
254,460.6090045,4560.14858,926.6221915,602.3044245,,,,,,
214,472.500933,4565.614938,927.7329553,603.026421,,,,,,
240,476.3387654,4564.170547,927.4394551,602.8356458,,,,,,
266,480.4543241,4563.028067,927.2073032,602.684747,,,,,,
292,484.8565693,4562.190718,927.0371538,602.57415,,,,,,
331,491.1572388,4561.681756,926.9337328,602.5069263,,,,,,
305,495.9018455,4564.076393,927.420323,602.8232099,,,,,,
279,500.7680164,4566.743565,927.9622923,603.17549,,,,,,
189,503.764681,4574.550429,929.5486473,604.2066207,,,,,,
253,505.7552067,4569.683423,928.5596716,603.5637865,,,,,,
215,508.1200443,4573.045522,929.2428501,604.0078526,,,,,,
241,512.7706026,4571.850077,928.9999356,603.8499582,,,,,,
267,517.7268621,4570.96837,928.8207729,603.7335024,,,,,,
293,523.0004772,4570.404669,928.7062288,603.6590487,,,,,,
356,525.1104667,4568.048628,928.2274812,603.3478628,,,,,,
330,530.5983122,4570.457594,928.7169832,603.6660391,,,,,,
304,536.2534031,4573.152799,929.2646488,604.0220217,,,,,,
190,537.0493522,4581.893624,931.0407845,605.1765099,,,,,,
278,542.0794906,4576.136038,929.8708429,604.4160479,,,,,,
216,542.1424029,4580.634968,930.7850254,605.0102665,,,,,,
242,547.5554032,4579.697256,930.5944823,604.8864135,,,,,,
252,548.0811146,4579.408917,930.5358919,604.8483298,,,,,,
268,553.3011671,4579.085754,930.4702252,604.8056464,,,,,,
355,561.7639685,4576.697217,929.9848744,604.4901684,,,,,,
329,568.0554987,4579.399995,930.5340789,604.8471513,,,,,,
191,569.0776942,4589.390907,932.5642323,606.166751,,,,,,
303,574.5546038,4582.403596,931.1444106,605.2438669,,,,,,
217,574.8720455,4588.386903,932.3602187,606.0341422,,,,,,
243,581.010663,4587.715924,932.2238757,605.9455192,,,,,,
277,581.2689061,4585.711112,931.816498,605.6807237,,,,,,
269,587.5085981,4587.384278,932.1564853,605.9017154,,,,,,
354,596.8607601,4585.506043,931.7748279,605.6536381,,,,,,
192,600.0697082,4597.045704,934.1196871,607.1777966,,,,,,
328,603.9089803,4588.509919,932.3852154,606.05039,,,,,,
218,606.5380838,4596.304947,933.9691653,607.0799575,,,,,,
302,611.2016653,4591.829521,933.0597586,606.4888431,,,,,,
244,613.3748291,4595.909897,933.8888911,607.0277792,,,,,,
276,618.7497887,4595.469235,933.7993486,606.9695766,,,,,,
270,620.5971775,4595.86796,933.8803694,607.0222401,,,,,,
193,630.1965781,4604.86143,935.7078425,608.2100976,,,,,,
353,630.6707263,4594.475975,933.5975182,606.8383868,,,,,,
219,637.3182868,4604.392693,935.6125953,608.1481869,,,,,,
327,638.4386575,4597.788018,934.2705252,607.2758414,,,,,,
245,644.8323922,4604.28295,935.5902954,608.133692,,,,,,
301,646.4851813,4601.430947,935.0107684,607.7569994,,,,,,
168,652.2324096,4613.392888,937.4414348,609.3369326,,,,,,
271,652.758262,4604.540752,935.6426807,608.1677425,,,,,,
275,654.8241935,4605.41042,935.8193973,608.2826082,,,,,,
194,659.594645,4612.84147,937.3293868,609.2641014,,,,,,
352,663.3995001,4603.607595,935.4530632,608.0444911,,,,,,
220,667.3538942,4612.65369,937.2912297,609.2392993,,,,,,
326,671.8571209,4607.234604,936.1900715,608.5235465,,,,,,
246,675.5295717,4612.838789,937.3288419,609.2637473,,,,,,
169,680.4091209,4621.263922,939.040829,610.3765389,,,,,,
300,680.6251202,4611.207842,936.9974336,609.0483318,,,,,,
272,684.1431325,4613.406513,937.4442035,609.3387323,,,,,,
